plant,phytomer,lesion,time
1,1,1,52.616385
2,1,1,151.110308
1,1,2,185.221284
2,1,2,263.577027
1,1,3,196.352517
1,1,4,217.332566
2,1,4,376.49786800000004
1,1,5,274.339585
2,1,5,483.80277199999995
1,1,10,362.732985
2,1,10,745.9016780000003
3,1,1,699.892657
4,1,1,962.015559
5,1,1,1116.281023
3,1,2,917.889568
4,1,2,1124.708023
5,1,2,1710.20488
4,1,3,1562.571566
5,1,3,1855.431061
3,1,4,1401.032676
4,1,4,1652.886452
5,1,4,2152.6096350000007
3,1,5,1643.862712
4,1,5,1721.6047579999995
5,1,5,1954.623514
3,1,10,1668.678012
4,1,10,1721.181873
5,1,10,1887.445377
10,1,1,2482.0679809999997
20,1,1,4080.104507
10,1,2,2695.590068
20,1,2,4803.047765
10,1,3,3084.635194
20,1,3,4921.652758
10,1,4,3398.102003
20,1,4,6235.175777
10,1,5,3931.022879
20,1,5,6674.4063270000015
10,1,10,4921.252146
20,1,10,8566.694451000001
1,4,3,679.455057
1,5,3,805.253789
1,10,3,1525.118101
1,20,3,2427.388019
2,1,3,444.018755
2,10,3,2192.697881
3,1,3,481.013149
